item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2012-07,87.81931917203339,41.01166554100386,114.0,19.0,12.196969696969697,0.5604078521130962,0.3754939997343228,0.41499945069878635,0.0,0.35975145211406895,7.710530557146523,43.9660761055273,0.0,41.01166554100386,0.16666666666666666,26.77548981609001,1.0
,2012-08,75.32794922718303,45.968077920815055,105.0,17.5,12.18796992481203,0.6285990503257662,0.45725349910725827,0.555317855457365,0.0,0.4377912182934767,8.361419284266212,43.21436857570323,0.0,45.968077920815055,0.16666666666666666,32.86488546408472,1.0
,2012-09,95.86307855472349,63.49040784255502,96.0,16.0,12.149253731343284,0.8709781583642888,0.6511020231586055,0.739524746909861,0.0,0.6613584150266149,7.881974567493684,43.77922855931431,0.0,63.49040784255502,0.3333333333333333,30.221440853204477,1.0
,2012-10,26.50162400998592,31.339094844021105,78.0,13.0,12.192592592592593,0.42838981408898835,0.551760996781736,0.40327455581516225,0.0,0.4017832672310398,7.841306032461537,33.256670711233184,0.0,31.339094844021105,0.6666666666666666,41.17110922284987,1.0
,2012-11,25.33600268328442,23.868868915577423,65.0,10.833333333333334,12.235294117647058,0.3251368361897566,0.4483140614547123,0.3863146972354225,0.0,0.36721336793196035,7.51473477011191,34.216403196815584,0.0,23.868868915577423,0.6666666666666666,38.12738615202097,1.0
,2012-12,115.54462891931094,47.38728518664421,81.0,13.5,12.233576642335766,0.6455905002555944,0.5060829797953411,0.5731995264029557,0.0,0.5850282121807927,7.655326736489175,42.573229915353465,0.0,47.38728518664421,0.6666666666666666,33.290444108036496,1.0
,2013-01,1610.589279807916,132.0102273834133,181.0,30.166666666666668,12.181159420289855,1.8062077512305212,0.45196306487795423,0.6718830765176008,0.0,0.7293382728365376,35.31531566064075,63.51196291957662,0.0,132.0102273834133,0.5,134.1186228006811,0.8333333333333334
,2012-07,17405.75653958492,674.8044382349834,1259.0,209.83333333333334,78.67213114754098,1.4295711166331178,0.48149424568430765,0.6733903097213502,0.0,0.5359844624582871,5.590443901518615,279.97736051006,0.0,674.8044382349834,0.0,320.2827147463718,0.6666666666666666
,2012-08,10002.964774938255,407.40975202576044,1159.0,193.16666666666666,79.0569105691057,0.8588955076643447,0.2757832493066063,0.35120174384809527,0.0,0.3515183365192066,4.835095902748508,221.49787977999245,0.0,407.40975202576044,0.16666666666666666,293.58935669270363,0.6666666666666666
,2012-09,7949.22183043323,396.12587716412423,1051.0,175.16666666666666,79.11290322580645,0.8345159491734864,0.3064997371849569,0.367260723692637,0.0,0.37690378417138365,4.291699728323375,210.83691827722203,0.0,396.12587716412423,0.16666666666666666,244.7671697833483,0.6666666666666666
